17:03:26 18.09.2020;-6,25;-7,3125;-6;-7,5;-6,25;-6,4375;-5,9375;-6,625;-7,5;-6,4375;-7,75;-6,875;-7,625;-7,0625;-8;-7,4375;-8;-5,5625;-6,9375;-8,6875;-7,4375;-5,9375;-7,1875;-8,8125;-4;-3,25;-3,75;-4;-3,6875;-3,5;-4,375;-4,6875;-3,75;-3,75;-4,1875;-4,3125
17:03:58 18.09.2020;-6,6875;-7,9375;-6,375;-8,0625;-6,625;-7,0625;-6,3125;-7,1875;-8,0625;-6,9375;-8,25;-7,4375;-8,25;-7,5625;-8,5625;-7,9375;-8,5625;-5,9375;-7,4375;-9,3125;-7,875;-6,3125;-7,6875;-9,4375
17:04:38 18.09.2020;-6,8125;-8,1875;-6,4375;-7,9375;-6,75;-7,375;-6,4375;-7,3125;-8,1875;-6,9375;-8,3125;-7,5625;-8,375;-7,625;-8,625;-8;-8,8125;-6,25;-7,75;-9,4375;-8,1875;-6,6875;-7,9375;-9,5625
17:05:18 18.09.2020;-7,1875;-8,4375;-6,8125;-8,375;-7,125;-7,6875;-6,75;-7,625;-8,5;-7,375;-8,6875;-7,9375;-8,6875;-7,9375;-8,9375;-8,3125;-9,125;-6,5625;-8,125;-9,6875;-8,5625;-7;-8,25;-9,875
17:05:58 18.09.2020;-7,5;-8,6875;-7,1875;-8,8125;-7,4375;-8,0625;-7,0625;-8;-8,9375;-7,8125;-9,0625;-8,25;-9,0625;-8,4375;-9,3125;-8,6875;-9,3125;-6,75;-8,25;-9,9375;-8,75;-7,25;-8,4375;-10,0625
17:06:38 18.09.2020;-7,75;-8,9375;-7,375;-8,875;-7,6875;-8,3125;-7,1875;-8,1875;-8,9375;-7,875;-9,0625;-8,25;-9,125;-8,4375;-9,25;-8,5;-9,125;-6,8125;-8,1875;-9,375;-8,625;-7,25;-8,3125;-9,375
17:07:18 18.09.2020;-7,625;-8,75;-7,25;-8,4375;-7,625;-8,25;-7,125;-7,9375;-8,6875;-7,625;-8,625;-7,875;-8,8125;-8,1875;-8,8125;-7,9375;-8,6875;-6,8125;-8;-8,6875;-8,375;-7,25;-8,125;-8,625
17:07:58 18.09.2020;-7,5;-8,5;-7,125;-7,9375;-7,625;-8,0625;-7,0625;-7,625;-8,375;-7,25;-8,0625;-7,375;-8,5;-7,875;-8,5;-7,3125;-8,25;-6,8125;-7,75;-8,0625;-8,125;-7,1875;-7,8125;-7,875
17:08:38 18.09.2020;-7,4375;-8,3125;-6,9375;-7,625;-7,5;-7,9375;-6,9375;-7,3125;-8,0625;-7;-7,6875;-6,9375;-8,125;-7,625;-8,1875;-6,8125;-7,8125;-6,6875;-7,5;-7,5;-7,875;-7,0625;-7,5625;-7,3125
17:09:18 18.09.2020;-7,3125;-8,0625;-6,6875;-7,25;-7,4375;-7,75;-6,75;-7;-7,6875;-6,6875;-7,375;-6,5625;-7,8125;-7,3125;-7,875;-6,375;-7,375;-6,625;-7,25;-6,9375;-7,625;-6,9375;-7,3125;-6,6875
17:09:58 18.09.2020;-7,125;-7,8125;-6,5;-6,9375;-7,25;-7,5625;-6,5625;-6,75;-7,375;-6,5;-7,125;-6,1875;-7,5;-7,0625;-7,625;-6,0625;-7;-6,5;-7;-6,5625;-7,4375;-6,75;-7,0625;-6,3125
17:10:38 18.09.2020;-7;-7,5625;-6,3125;-6,6875;-7,125;-7,375;-6,4375;-6,5;-7,0625;-6,375;-6,875;-5,9375;-7,1875;-6,8125;-7,3125;-5,75;-6,6875;-6,375;-6,8125;-6,1875;-7,1875;-6,625;-6,8125;-5,875
17:11:18 18.09.2020;-6,8125;-7,3125;-6,1875;-6,4375;-7;-7,125;-6,25;-6,25;-6,75;-6,1875;-6,6875;-5,6875;-6,875;-6,625;-7,0625;-5,5;-6,375;-6,25;-6,5625;-5,875;-6,9375;-6,5;-6,5625;-5,5625
17:11:58 18.09.2020;-6,6875;-7,0625;-6;-6,1875;-6,875;-6,9375;-6,125;-6,0625;-6,4375;-6;-6,4375;-5,5;-6,625;-6,375;-6,8125;-5,3125;-6,125;-6,125;-6,375;-5,625;-6,75;-6,3125;-6,375;-5,25
17:12:38 18.09.2020;-6,5;-6,8125;-5,875;-6;-6,6875;-6,6875;-5,9375;-5,875;-6,25;-5,875;-6,25;-5,3125;-6,3125;-6,1875;-6,5625;-5,125;-5,9375;-5,9375;-6,1875;-5,375;-6,5;-6,1875;-6,125;-5,0625
17:13:18 18.09.2020;-6,3125;-6,625;-5,6875;-5,75;-6,5;-6,5;-5,8125;-5,6875;-6;-5,75;-6,125;-5,1875;-6,125;-6;-6,3125;-5;-5,6875;-5,8125;-6;-5,25;-6,3125;-6;-6;-4,875
17:13:58 18.09.2020;-6,1875;-6,375;-5,5625;-5,5625;-6,375;-6,3125;-5,6875;-5,5;-5,8125;-5,625;-5,875;-5,0625;-5,875;-5,8125;-6,125;-4,8125;-5,5;-5,6875;-5,8125;-5;-6,125;-5,8125;-5,75;-4,625
17:14:38 18.09.2020;-6,0625;-6,1875;-5,4375;-5,4375;-6,25;-6,1875;-5,5;-5,3125;-5,5625;-5,4375;-5,6875;-4,875;-5,6875;-5,6875;-5,875;-4,6875;-5,3125;-5,5;-5,625;-4,8125;-5,9375;-5,6875;-5,625;-4,5
17:15:19 18.09.2020;-5,875;-6;-5,3125;-5,25;-6,0625;-6;-5,375;-5,1875;-5,4375;-5,3125;-5,5625;-4,75;-5,5;-5,5;-5,6875;-4,5625;-5,125;-5,375;-5,5;-4,6875;-5,75;-5,5625;-5,5;-4,375
17:15:59 18.09.2020;-5,75;-5,8125;-5,1875;-5,125;-5,9375;-5,8125;-5,25;-5,0625;-5,25;-5,1875;-5,4375;-4,6875;-5,3125;-5,375;-5,5;-4,5;-5;-5,25;-5,3125;-4,5625;-5,625;-5,375;-5,3125;-4,25
17:16:39 18.09.2020;-5,625;-5,625;-5,0625;-5;-5,8125;-5,625;-5,125;-4,9375;-5,125;-5,0625;-5,25;-4,5;-5,125;-5,25;-5,375;-4,375;-4,875;-5,125;-5,1875;-4,4375;-5,4375;-5,25;-5,1875;-4,125
17:17:19 18.09.2020;-5,4375;-5,5;-4,9375;-4,8125;-5,625;-5,5;-5;-4,75;-4,9375;-4,9375;-5,125;-4,4375;-5;-5,0625;-5,1875;-4,3125;-4,6875;-4,9375;-5;-4,3125;-5,3125;-5,125;-5,0625;-4
17:17:59 18.09.2020;-5,3125;-5,3125;-4,8125;-4,6875;-5,5;-5,3125;-4,875;-4,625;-4,8125;-4,8125;-4,9375;-4,3125;-4,875;-4,9375;-5,0625;-4,1875;-4,625;-4,875;-4,875;-4,25;-5,125;-5;-4,9375;-3,875
17:18:39 18.09.2020;-5,1875;-5,1875;-4,6875;-4,5625;-5,375;-5,1875;-4,8125;-4,5;-4,6875;-4,75;-4,875;-4,25;-4,75;-4,8125;-4,9375;-4,125;-4,5;-4,75;-4,75;-4,125;-5;-4,875;-4,8125;-3,8125
17:19:19 18.09.2020;-5,0625;-5,0625;-4,625;-4,5;-5,25;-5;-4,6875;-4,4375;-4,5625;-4,625;-4,6875;-4,1875;-4,625;-4,75;-4,75;-4;-4,375;-4,5625;-4,6875;-4;-4,875;-4,75;-4,6875;-3,6875
